"Hypothesis","Network","Summary_node","Strength_EBIC_AND","Strength_CV_AND","Strength_CV_OR","CI_lower_EBIC_AND","CI_lower_CV_AND","CI_lower_CV_OR","CI_upper_EBIC_AND","CI_upper_CV_AND","CI_upper_CV_OR","Rank_EBIC_AND","Rank_CV_AND","Rank_CV_OR","Verdict_EBIC_AND","Verdict_CV_AND","Verdict_CV_OR","Verdicts_identical","Ranks_identical"
"H2","Study1_SUSPECTS_USA","CB",0.954,0.954,0.954,0.892,0.89,0.892,1.012,1.02,1.017,1,1,1,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study2_ACTS_USA","CB",0.722,0.73,0.736,0.672,0.691,0.697,0.791,0.81,0.809,4,4,4,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study3_CMQ_Australia","CB",0.637,0.636,0.636,0.383,0.512,0.517,0.755,0.754,0.765,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_Brazil","CB",0.429,0.413,0.413,0.172,0.316,0.323,0.501,0.559,0.578,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_Canada","CB",0.526,0.643,0.643,0.438,0.554,0.538,0.731,0.772,0.762,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_Germany","CB",0.588,0.637,0.647,0.37,0.519,0.52,0.725,0.77,0.772,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_Lebanon","CB",0.231,0.228,0.243,0.077,0.157,0.176,0.357,0.478,0.489,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_Morocco","CB",0.228,0.268,0.282,0.136,0.211,0.232,0.365,0.47,0.475,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_South Africa","CB",0.19,0.285,0.296,0.131,0.197,0.205,0.353,0.48,0.488,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
"H2","Study3_CMQ_United States","CB",0.392,0.567,0.567,0.304,0.371,0.387,0.662,0.691,0.688,6,6,6,"falsified","falsified","falsified",TRUE,TRUE
